,text_cleaned,Z1,Z2,nb_words,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive,target
119,dream huge dark house random scary guy laptop try shut remember want go home really badly laptop shut big scary random guy keep come try get take clothes try rape really scar tried call father number phone rearrange figure guy chase tell fool around start cry finally able call home know father keep ask pick could say somewhere mountain awful guy catch hung phone caleb come hit guy save bring car drove long time finally get motel type place attach school hugh start make fun hit square chest grab hand pull really close forehead touch kiss still upset scary guy run away ran mr lopez try assign geometry homework try really difficult everyone around keep try mess run away hold onto geometry homework wake,11.434967,9.702437,300,4,6,4,4,3,7,2,3,8,5,0
96,dream write essay spanish embarrass thing ever happen remember say tengo que escribir un ensayo sobre un dia cuando soy remember word embarrassment hit verguenza wake mutter verguenza real life weird,10.858532,11.255005,61,1,1,1,1,0,1,1,2,4,2,0
444,bizarre dream dreamt like friend house like three four kind okay first kind want anything somehow notion fire alarm system house father sit back yard read something kitchen help mother bake pie somehow know knew go burn something oven go go come house get back truck bed truck like guy like know want tell kind figure probably go go climb back enough room like lay real greasy kind dirty back father get cab truck start drive u away drive u around block time dream somebody get marry go see get married go like walk street minute stuff one thing dreamt look book biography techno singer look girl sings come planet soul sing hour morning find think woke,5.3327236,11.170893,329,0,2,2,2,3,2,2,7,4,7,0
435,last night dreamt somehow get pregnant make guy think mother take doctor egg implant something get pregnant go baby go like grow house would still jessie raise beach go baby salt water make thing lot easy make go much pain labor stuff start baby head pop ask mother body naturally push act like go poop say naturally happen baby start come go deep deep water baby body start come like really really painful mother like lift top water put water lift water put water thinking might shake baby baby come fell bottom water go drown pull real quick race shore whole hullabaloo go remember though clowns thing run around get shower like nothing happen go back water woman say tell baby mother granddaughter oh weird remember much,5.525874,11.255989,350,1,4,2,3,4,6,1,5,7,6,0
511,tell crush jose water give bottle middle discussion someone take bottle lean arm,10.520965,9.981382,34,0,0,0,0,0,0,0,0,0,1,0
520,concentration camp child horrible awful place brother child sit outside dirt tiny space many u jewish boy actually dare talk authority pace dirt trace cyclone fence confine u outside realm spend day also area sleep eat separate enclosure single football another area cage channel staticky tv shelter rain assign task even mundane pace boy brother little girl somehow make small gap gate opportune time retrieve football falter fear try escape two crept behind officer quarter nobody know make brother one know alone boy talk though plan escape attempt suppose go boy use another misfortune distraction opportunity escape think jewish boy catch hide possession dirt run foot overseer uncover pickaxe boy make way cage area ugly exchange use pickaxe weapon fierce lady barely slow wall cage tvs topple free detention area fugitive follow instruction give leader escape descend gutter suppose slide way green putrid stench gutter cling five foot surface think would surely see however boy lead seem know three guard follow u continue past gutter,13.641471,11.79623,389,6,7,9,10,3,4,2,7,16,12,0
521,dreamt bee sort tour long race around dry mountainside think del something grumpy bear,10.484522,9.672398,31,2,1,1,1,0,1,0,0,1,0,0
376,last night dreamt go prom dj dj high school prom anywhere near prom time know come participate wedding dj maybe anyway dreamt foyer like four five time big really equipment set line cd get ready notion prom people go start fill come house fill foyer get ready get techno stuff together next thing know equipment work right like long time like look certain connector need find reason need mini connection usually use unless use boom box time know suddenly dreamt must another one dream feel like connect dreamt elizabeth house small tiny little kitchen lead grand foyer staircase everything pour rain outside think elizabeth cousin brother law relative kind young man tell like play trumpet guess thomas thomas play trumpet say keyboard great thing make make kind different sound really play certain instrument want song make make sound right kind synthesizer time like swing swing hang one stairwell thing think mother come pour rain go small little kitchen elizabeth ask mini disc think want something mini disc format tell would show recorder wm woke,5.3177056,11.164984,438,1,7,1,1,3,2,3,7,4,7,0
284,dreamt father take walk city like like almost like disneyland like ride set little booths somehow notion city way cross busy street go alley carry mother little flat recorder black one flat shoulder strap shoulder kind arm way carry play wee sing tape walk reason another want father hear blue bird come keep hop somehow tape would stop something remember exactly final oh remember finish walk blue bird suppose come get back house shut tape go day wake kind strange dream say,5.346263,11.230752,204,0,1,0,0,2,3,0,4,1,6,0
62,dream find perfect halloween costume,9.844019,10.840952,11,0,1,0,0,2,0,0,2,0,2,0
346,last night felt like dream epic first dream certain cd call concert cd classical music station area play like dove even say time would play like station would play minute song minute bleah bleah bleah think odd think must send u mail dreamt blue white cd find case suppose something like snow white soundtrack something like dreamt put two bag like bookstore put like evelyn mo jo concert blue white one mariah carey something two mariah careys together forth think maybe go organize good dreamt mother paint kazoo bathroom closet look half even open like stockpile store something totally ample suggest move tape rack bathroom get cd rack work room rest whole slurry activity stuff basically kinds stuff,5.2603364,11.153945,293,0,5,0,1,4,5,0,3,3,9,0
431,last night dreamt show choir like type thing mr dougherty try show different maneuver suppose suppose like jump stomp cartwheel make mess place test history something still live school dream hard time find place go read test tell two conference room library go library sit start write test big another paper tell concern make along life know really feel way dream finally wake something pet chicken remember,5.2638035,10.983396,179,0,2,2,2,2,1,1,4,1,3,0
98,bad dream ever dream sort camp military boot camp run lap around track thought go sick get news mother father die freak guy keep make run lap throw tell dream wake sail river boat get lose swim current thank god wake,9.901555,10.659016,112,0,5,1,3,3,3,0,3,3,3,0
138,dream lou elevator fold laundry start massage shoulder get tingly massage start kiss elevator put hand chest reason felt really sexual woke kind embarrass even though nothing really happen,10.725646,6.6699185,60,0,0,0,0,1,0,0,1,0,2,0
375,last night dreamt store call anderson audio like sam work audio stuff walk around look different stuff saw bunch furniture stuff addition go front counter lady front impress show thing display case first show porcelain music box rock horse saddle make really really soft material ornate stuff show snow globe shape santa face flat plastic tip upside lyric santa claus come town word little black piece plastic would kind fall place suspended water tip upright lastly show snow globe cardinal like one two cardinal allison part collection give rock horse cardinal half price really interested snow globe wake,5.2659235,11.04252,245,0,2,1,1,2,5,0,4,3,8,0
156,dream mother look paper mr manner go house brother make hamburger dance one burnt hamburger kylie want go see movie tell jetlagged fall asleep minute say ok work old new yorker sort antique store new yorker magazine alexis sra perez want go shop huge victoria secret remember go tell finally tyler wear green polo shirt run around try hide guy chase u keep dive different communal bed refuge get away go christmas store take picture think would blend tyler wear green christmas get realize santa miss picture run bathroom apparently hold hostage save time tyler tell perfect kiss run away woke,10.602607,6.705321,240,1,7,2,3,6,3,2,8,5,10,0
283,dream storm last night first dream pool kind swim people go deck ready dry mother try convince listen personal player chicken convince mother go car get lunch sit car listen radio ate lunch dream stay hotel mother think mother father suppose come later sandra uncle jack mother room try think oh go dinner little restaurant remember something scary room remember exactly dream father sandra get give sandra purple rise call la la loo flower want sing la la loo cd along harp play really rendition word dreamt,5.514946,11.1768875,230,2,4,1,1,3,2,0,7,5,7,0
35,first dream sue lou tristan math class mr stipps try find one problem nearly impossible frustrating guess isabel finally give figure something eventually leave go check mail try open mailbox open keep try open would open sue saw mel gibson come check mail high school reason laugh u open mine start new dream family drive somewhere drive along hallway sudden notice one driver seat felt really worry try steer back seat really difficult end skid road last dream best start badly though come home find kid local high school party kylie throw party really angry apparently house attach one dorm long hallway everyone keep run back forth steal stuff dorm room kylie find tiny object like kaleidoscope shape rock brightly color let look look surprised see picture anthony wave smile play laugh read etc realize graduation present parent give wait open furious kylie steal call anthony start chat laugh keep walk hallway post anthony live kylie keep run want kaleidoscope think anthony cute want excuse talk get really mad try talk anthony post note really weird keep talk invited room tease crawl top sat bed saw kaleidoscope happy kiss wake,10.692034,6.575574,418,5,9,6,6,7,6,6,7,12,14,0
229,day later last night dream sound like martin luther king anyway last night dream father want put together cd grandpa go specs get cd stand balcony mall knock banister go fall crash first floor know sudden cd writer picnic table say go back get another one say nun name angelina wrap cd take sound equipment put box reason give box tell put back together take equipment set back desk like go start put wire back go pretty good wire speaker west wall go good need help put father phone need help put woke wire could connect,5.3126245,11.206881,246,0,3,0,0,3,1,3,5,2,7,0
171,dream everyone spain program party bus eat popsicle lot fun get refuge apparently end party really want go sleep leave reason sad say good bye everyone even though dream,10.720599,6.659065,75,0,3,0,0,2,1,2,1,1,3,0
201,dream last day school kiss lou jackson good bye make promise visit saw ian lake drive english class discus exam athletic center apparently girls ride around bicycle know end hard big bike play dodge ball,8.792912,11.204534,79,0,2,0,0,2,0,1,4,0,5,0
